Id_codedep_codecommune;Code_departement;Code_commune;Code_postal;Nom_commune;Population;Id_region
04_242;04;242;4180;VILLENEUVE;507;R76
06_010;06;010;6620;LE BAR-SUR-LOUP;328;R76
06_019;06;019;6440;BLAUSASC;188;R76
13_045;13;045;13690;GRAVESON;517;R76
22_032;22;032;22350;CAULNES;207;R76
2A_032;2A;032;20129;BASTELICACCIA;824;R76
30_206;30;206;30320;POULX;2438;R76
38_239;38;239;38430;MOIRANS;573;R76
38_553;38;553;38090;VILLEFONTAINE;885;R76
39_362;39;362;39570;MONTMOROT;1460;R76
41_047;41;047;41260;LA CHAUSSEE SAINT VICTOR;257;R76
41_295;41;295;41350;VINEUIL;38856;R76
49_355;49;355;49340;TREMENTINES;6735;R76
50_394;50;394;50190;PERIERS;484;R76
65_384;65;384;65170;SAILHAN;4633;R76
66_136;66;136;66000;PERPIGNAN;11017;R76
69_277;69;277;69740;GENAS;3564;R76
80_001;80;001;80100;ABBEVILLE;549;R53
84_141;84;141;84270;VEDENE;1751;R53
01_109;01;109;1550;COLLONGES;1618;R53
01_240;01;240;1580;MATAFELON-GRANGES;2423;R53
22_055;22;055;22680;BINIC-ETABLES-SUR-MER;787;R53
24_138;24;138;24660;COULOUNIEIX-CHAMIERS;1964;R53
24_356;24;356;24580;ROUFFIGNAC-ST-CERNIN-DE-REILHA;465;R53
26_165;26;165;26250;LIVRON SUR DROME;10186;R53
34_067;34;067;34190;CAZILHAC;647;R53
34_161;34;161;34310;MONTADY;2414;R53
38_158;38;158;38320;EYBENS;542;R53
40_019;40;019;40200;AUREILHAN;749;R53
54_550;54;550;54122;VATHIMENIL;773;R53
56_165;56;165;56800;PLOERMEL;2836;R53
58_238;58;238;58000;SAINT ELOI;853;R53
64_304;64;304;64990;LAHONCE;469;R53
69_031;69;031;69690;BRUSSIEU;2418;R53
76_322;76;322;76120;GRAND QUEVILLY (LE);473;R53
76_498;76;498;76140;PETIT QUEVILLY (LE);197;R53
77_044;77;044;77720;BOMBON;2795;R53
83_127;83;127;83870;SIGNES;194;R53
88_321;88;321;88300;NEUFCHATEAU;256;R53
91_109;91;109;91150;BRIERES-LES-SCELLES;6039;R53
91_359;91;359;91720;MAISSE;1856;R53
06_065;06;065;6610;LA GAUDE;7519;R53
06_070;06;070;6620;GREOLIERES;3712;R53
33_226;33;226;33550;LANGOIRAN;1023;R24
42_270;42;270;42240;SAINT-PAUL-EN-CORNILLON;2569;R24
44_116;44;116;44560;PAIMBOEUF;837;R24
49_323;49;323;49480;VERRIERES-EN-ANJOU;1252;R24
54_270;54;270;54590;HUSSIGNY GODBRANGE;4612;R24
59_574;59;574;59490;SOMAIN;253;R24
59_586;59;586;59242;TEMPLEUVE EN PEVELE;38200;R24
60_068;60;068;60320;BETHISY ST PIERRE;5942;R24
60_559;60;559;60510;LA RUE ST PIERRE;171;R24
69_287;69;287;69720;SAINT-BONNET-DE-MURE;2288;R24
76_429;76;429;76240;MESNIL-ESNARD (LE);599;R24
76_476;76;476;76330;PORT-JEROME-SUR-SEINE;1993;R24
83_081;83;081;83440;MONTAUROUX;1351;R24
91_679;91;679;91190;VILLIERS-LE-BACLE;2177;R24
06_025;06;025;6510;LE BROC;381;R24
24_086;24;086;24250;CASTELNAUD-LA-CHAPELLE;44;R24
28_007;28;007;28260;ANET;64;R24
2A_071;2A;071;20140;CASALABRIVA;147;R24
33_122;33;122;33610;CESTAS;183;R24
34_143;34;143;34140;LOUPIAN;105;R24
34_329;34;329;34350;VENDRES;613;R24
39_392;39;392;39290;OFFLANGES;115;R24
42_110;42;110;42152;L HORME;53;R24
59_173;59;173;59890;DEULEMONT;652;R24
62_065;62;065;62210;AVION;1478;R24
62_587;62;587;62640;MONTIGNY EN GOHELLE;252;R24
69_067;69;067;69690;COURZIEU;365;R24
79_124;79;124;79340;LES FORGES;346;R24
83_036;83;036;83240;CAVALAIRE-SUR-MER;608;R24
83_140;83;140;83170;TOURVES;664;R24
06_015;06;015;6390;BERRE-LES-ALPES;181;R84
16_154;16;154;16160;GOND PONTOUVRE;90;R84
17_127;17;127;17170;COURCON;222;R84
26_197;26;197;26120;MONTELIER;4365;R84
28_209;28;209;28300;LEVES;1231;R84
33_032;33;032;33530;BASSENS;539;R84
33_229;33;229;33138;LANTON;93;R84
37_115;37;115;37160;DESCARTES;142;R84
42_039;42;039;42920;CHALMAZEL-JEANSAGNIERE;275;R84
43_089;43;089;43000;ESPALY-SAINT-MARCEL;119;R84
44_067;44;067;44290;GUEMENE PENFAO;472;R84
45_302;45;302;45770;SARAN;197;R84
52_121;52;121;52000;CHAUMONT;729;R84
59_526;59;526;59230;SAINT-AMAND-LES-EAUX;71;R84
62_099;62;099;62217;BEAURAINS;4054;R84
64_371;64;371;64130;MAULEON LICHARRE;66;R84
69_208;69;208;69210;SAINT GERMAIN NUELLES;293;R84
69_388;69;388;69008;LYON 8EME;302;R84
73_157;73;157;73500;MODANE;249;R84
76_103;76;103;76240;BONSECOURS;1197;R84
78_087;78;087;78830;BONNELLES;400;R84
83_035;83;035;83330;LE CASTELLET;2490;R84
83_086;83;086;83490;LE MUY;1147;R84
84_035;84;035;84300;CAVAILLON;882;R84
91_180;91;180;91490;COURANCES;1439;R84
